Title,Company,Location,Salary,Skills,Experience level
Młodszy Administrator Linux,Asseco Poland S.A.,Katowice,Znamy widełki,  Linux   MySQL  ,Junior
Specjalista lub Młodszy Specjalista ds. Wdrożeń,Asseco Poland S.A.,Bydgoszcz,Znamy widełki,  SQL  ,Junior
Junior Site Reliability Engineer,Sapiens Software Solutions Poland Sp. z o.o. ,Remote,, ,Junior
Junior Cobol Developer,PKO BP Finat,Warszawa,,  MS SQL   Excel   Cobol  ,Junior
System Test Engineer - Lab Admin,Motorola Solutions Systems Polska Sp.z.o.o,Kraków,, ,Junior
Junior Developer / QA,SAP Labs Polska,"Remote, Warszawa, Gdańsk, Gliwice",,  | Java | Spring | UI | Git | ,Junior
Junior Java Developer,SAP Labs Polska,"Remote, Warszawa, Gdańsk, Gliwice",,  | Java | Spring | UI | ,Junior
Junior SQL/ETL Developer,Transition Technologies PSC S.A.,"Remote, Białystok, Kielce i 3 więcej",,  PL/SQL  ,Junior
Programista C#,Starsoft,Pruszcz Gdański,Znamy widełki,  C#   .NET  ,Junior
System Administrator – Junior DevOps,Luxoft Poland,Remote,,  Linux   VMware   Windows  ,Junior
Murex Junior Support,Luxoft Poland,"Warszawa, Wrocław",, ,Junior
Junior Cloud Data Engineer - Akademia Cloud Data Engineer,ONWELO SA,"Warszawa, Kielce, Lublin",Od 4 000 PLN,"  SQL, Python, DWH ",Junior
Junior .Net Developer,Luxoft Poland,Kraków,,  .NET   C#   CI  ,Junior
C/C++ Junior Software developer,Luxoft Poland,Wrocław,,  C++   Python  ,Junior
Junior FullStack Developer,BNP Paribas Group Service Center S.A.,Warszawa,5 000 - 12 800 PLN,  BNP Paribas GSC  ,Junior
Junior System Engineer,Asseco South Eastern Europe S.A.,Warszawa,Znamy widełki,  ASP.NET   C#   HTML  ,Junior
Junior Frontend Developer,BOC Information Technologies Consulting,"Remote, Warszawa",4 500 - 8 000 PLN,  React Redux JavaScript TypeScript ,Junior
Praktyki - IT Consulting Services,KPMG w Polsce ,Warszawa,, ,Junior
Junior Automation Developer,ING Bank Śląski,Warszawa,,  RPA / RDA ,Junior
Junior Cloud Engineer (DevOps),ONWELO SA,Remote,12 800 - 16 000 PLN,  Kubernetes   Python   Cloud Platform  ,Junior
Junior ETL Developer,Commerzbank - Centrum Technologii Cyfrowych w Polsce,Łódź,Znamy widełki,  SQL  ,Junior
Tester manualny,j-labs sp. z o.o.,Remote,4 000 - 8 000 PLN,  MS SQL   JIRA   SoapUI  ,Junior
Automation Tester (Performance Tests),Commerzbank - Centrum Technologii Cyfrowych w Polsce,Łódź,Znamy widełki,  Dynatrace   Jenkins   HP Loadrunner  ,Junior
Helpdesk Specialist,Polcode Sp. z o.o.,"Remote, Warszawa, Kraków",3 500 - 5 000 PLN,  Linux   Windows   MacOS  ,Junior
Junior AWS DevOps Engineer,Sofomo,"Remote, Wrocław",7 000 - 9 000 PLN,  Sofomo JuniorDevOps ,Junior
Junior Frontend Developer,ONWELO SA,Kielce,6 000 - 10 000 PLN,  Junior Frontend Developer - Kielce ,Junior
Specjalista lub Młodszy Specjalista ds. Wdrożeń,Asseco Poland S.A.,Bydgoszcz,,  MySQL  ,Junior
C++ Junior Software developer,Luxoft Poland,Wrocław,,  C++   Python  ,Junior
Junior Software developer,Luxoft Poland,Wrocław,,  C++   Git   Python  ,Junior
Technik Tester,Sii Polska,Gdańsk,,  Hardware   BIOS   Windows  ,Junior
Analityk Biznesowy (Junior/Mid),iNCO,"Remote, Gorzów Wielkopolski",,  C#   .NET   React  ,Junior
PHP Developer,Sii Polska,"Remote, Katowice, Gliwice i 11 więcej",8 000 - 10 000 PLN,  Drupal ,Junior
Junior Java Developer - Cracow ,Transporeon,Kraków,,  Java   Angular   PostgreSQL  ,Junior
Junior Java Developer (R&D Security),Diebold Nixdorf,Katowice,Znamy widełki,  Java   HTML   SCSS  ,Junior
C#/.NET Junior Software Developers,Diebold Nixdorf,Katowice,Znamy widełki,  C#   .NET   SQL  ,Junior
All Levels Software Engineer,Sabre Poland,Kraków,,  C   C++   Linux  ,Junior
C#/.NET Junior Software Developers,Diebold Nixdorf,Katowice,Znamy widełki,  C#   .NET   SQL  ,Junior
Tester Gier,Lionbridge Poland ,Warszawa,,  Windows  ,Junior
