Title,Company,Location,Salary,Skills,Experience level
Back-End Engineer (scala),relayr sp. z o.o.,Remote,9 000 - 19 500 PLN,  java   python   scala  ,Mid
Full Stack Engineer (NodeJS/React) (m/f/d),relayr sp. z o.o.,"Remote, Katowice",10 000 - 19 200 PLN,  javascript   REST   Node.js  ,Mid
Citrix Engineer,ING Bank Śląski,"Remote, Warszawa, Katowice",10 500 - 15 000 PLN,  hardware konfiguracja utrzymanie wymiana ,Mid
.NET Developer,7N,Warszawa,15 900 - 21 000 PLN,  .NET   C#   .NET Core  ,Mid
Storage Specialist,Kyndryl,"Remote, Wrocław",, ,Mid
DevOps Engineer [REMOTE],Kyndryl,"Remote, Wrocław",15 000 - 24 000 PLN, ,Mid
Data Analyst / Survey Developer,Deloitte,Remote,,  HTML   CSS   JavaScript  ,Mid
Consultant CAD/PLM,Transition Technologies PSC S.A.,"Remote, Białystok, Kielce i 3 więcej",, ,Mid
Backend Java Developer,PKO BP Finat,"Poznań, Warszawa",,  Java   Spring Boot  ,Mid
Analityk IT (biznesowo-systemowy),PKO BP Finat,Warszawa,,  SQL.  ,Mid
Delivery Manager - BI,Sii Polska,"Remote, Białystok, Bydgoszcz i 12 więcej",, ,Mid
Mid/Senior Ruby Developer,The Codest,"Remote, Kraków",10 000 - 21 000 PLN,  Ruby   Ruby on Rails   PostgreSQL  ,Mid
Mid/Senior Java Developer,The Codest,"Remote, Kraków",10 000 - 21 000 PLN,  Java   Spring Boot   Spring Security  ,Mid
DevOps Engineer,Infolet,Kraków,19 200 - 24 000 PLN,"  devops, docker, aws ",Mid
Mid/Senior React Developer,The Codest,"Remote, Kraków",10 000 - 21 000 PLN,  React  ,Mid
Application Support Engineer (Big Data),Commerzbank - Centrum Technologii Cyfrowych w Polsce,"Remote, Łódź",,  MySQL   Linux   Unix  ,Mid
Automation Tester,7N,"Remote, Warszawa",19 300 - 23 500 PLN,  Karate   Cucumber   Gherkin  ,Mid
Business Expert - Cluster Management,Commerzbank - Centrum Technologii Cyfrowych w Polsce,"Remote, Łódź",, ,Mid
